date,product,store,sales
2024-06-22,B,north,17.81157769308851
2024-06-23,C,south,15.249779836881464
2024-06-24,A,south,29.246448407532547
2024-06-25,C,north,17.610491124027238
2024-06-26,B,south,21.98232569516642
2024-06-27,A,north,26.42595658063692
2024-06-28,A,south,28.956515863272312
2024-06-29,A,south,24.36994990487472
2024-06-30,C,north,17.157380638142264
2024-07-01,B,north,15.332750072385114
2024-07-02,A,north,16.646093065653698
2024-07-03,A,south,25.484059677636708
2024-07-04,A,north,27.326417717466743
2024-07-05,C,south,21.415064315593522
2024-07-06,C,south,15.410707090481576
2024-07-07,B,north,23.116478435335786
2024-07-08,C,north,17.90535191505394
2024-07-09,A,south,22.27928951757474
2024-07-10,B,south,17.83810329409045
2024-07-11,A,north,25.23522676751823
2024-07-12,A,north,20.545895285448783
2024-07-13,C,north,19.888892258842645
2024-07-14,B,north,21.288344736151007
2024-07-15,C,north,23.321971688730844
2024-07-16,C,south,20.527869971663733
2024-07-17,B,south,15.981114505418626
2024-07-18,A,south,25.446670682956672
2024-07-19,A,south,21.81922517816164
2024-07-20,B,north,16.64616453089915
2024-07-21,A,north,20.911889189380062
2024-07-22,B,north,14.266238960317928
2024-07-23,B,south,18.298510496193813
2024-07-24,C,south,23.386666229140722
2024-07-25,B,north,26.769452046282623
2024-07-26,C,north,18.279244524979717
2024-07-27,A,south,28.258316580308968
2024-07-28,A,south,23.816253045290214
2024-07-29,A,north,20.047792841654317
2024-07-30,A,north,27.10282678433823
2024-07-31,C,south,20.7044422603867
2024-08-01,A,north,30.454058823883344
2024-08-02,B,north,15.395964554051732
2024-08-03,B,north,28.388098125005833
2024-08-04,B,south,24.77515196956447
2024-08-05,C,south,19.946229279314437
2024-08-06,A,south,24.104086624604445
2024-08-07,A,south,22.852570393394146
2024-08-08,A,south,25.329197917563377
2024-08-09,C,south,19.448191533773066
2024-08-10,B,south,21.541386240741833
2024-08-11,B,north,19.11690001694508
2024-08-12,A,north,29.24489107448999
2024-08-13,B,north,20.37513809349934
2024-08-14,B,north,19.229548916222804
2024-08-15,C,north,23.07285974533817
2024-08-16,C,north,15.132429109406743
2024-08-17,C,north,21.022965056831403
2024-08-18,C,south,20.0767140092283
2024-08-19,A,south,20.767448408782652
2024-08-20,C,north,14.874490161294478
2024-08-21,B,north,23.031035008824734
2024-08-22,A,south,27.888372071052082
2024-08-23,B,north,20.517675288903078
2024-08-24,B,north,25.149973329364173
2024-08-25,B,south,21.322904545583807
2024-08-26,C,north,23.749415958233648
2024-08-27,C,south,21.26097376155356
2024-08-28,A,north,24.172571303194026
2024-08-29,A,south,21.827406245699972
2024-08-30,C,south,18.18969123529171
2024-08-31,B,south,19.228633186258346
2024-09-01,A,north,29.089459306320116
2024-09-02,C,south,22.30975867558899
2024-09-03,C,north,20.99095720472785
2024-09-04,C,north,22.610029722692225
2024-09-05,B,north,21.582151147077447
2024-09-06,C,north,20.78581283332048
2024-09-07,C,south,15.504021795479137
2024-09-08,C,south,23.41747271858503
2024-09-09,C,north,18.624464457420572
2024-09-10,A,north,28.265620832867633
2024-09-11,A,south,28.555630874532667
2024-09-12,C,north,17.98988241933396
2024-09-13,B,south,22.849148241787812
2024-09-14,A,north,23.917037562232306
2024-09-15,C,north,18.934903017059828
2024-09-16,A,south,25.772419703747975
2024-09-17,A,north,25.85341776750862
2024-09-18,B,south,20.115654546052674
2024-09-19,C,north,15.99713595333213
2024-09-20,C,north,19.63566008154698
2024-09-21,B,north,26.835436184565218
2024-09-22,B,south,11.647987313593934
2024-09-23,C,north,22.60922132068524
2024-09-24,C,north,23.171374800068925
2024-09-25,B,north,15.924956842141544
2024-09-26,A,north,23.59168325977136
2024-09-27,A,south,21.997848526169967
2024-09-28,B,south,25.561896131935637
2024-09-29,A,north,28.309075800333346
2024-09-30,B,south,23.454276123394198
2024-10-01,A,north,25.361941677984387
2024-10-02,A,north,28.93627584924893
2024-10-03,C,north,19.975290298813764
2024-10-04,C,south,24.077472881631675
2024-10-05,A,south,24.55391072766334
2024-10-06,A,south,22.962274249859682
2024-10-07,C,south,25.43285079899583
2024-10-08,C,south,19.93745371800459
2024-10-09,C,south,17.303600275272608
2024-10-10,B,south,17.27109830753008
2024-10-11,A,south,22.280263980942877
2024-10-12,C,south,22.533327053088104
2024-10-13,A,north,24.70341136886435
2024-10-14,B,south,26.893876927991247
2024-10-15,B,south,23.55853454697236
2024-10-16,C,south,20.771414390281915
2024-10-17,B,south,24.21169262359485
2024-10-18,A,south,23.51347799059155
2024-10-19,C,south,14.435642587522082
2024-10-20,A,south,22.03125082727578
2024-10-21,A,south,25.441623488108807
2024-10-22,B,south,19.33237558348658
2024-10-23,B,south,22.47324616477238
2024-10-24,B,south,19.62615865596959
2024-10-25,B,north,22.244104177885177
2024-10-26,B,north,24.502914891692868
2024-10-27,C,south,19.616912448167685
2024-10-28,A,south,26.665435866133365
2024-10-29,A,north,19.735639478274297
2024-10-30,A,south,24.628318063778323
2024-10-31,A,north,21.304125622761937
2024-11-01,B,north,20.435680331388042
2024-11-02,A,north,25.707999270031994
2024-11-03,C,north,20.698029073741385
2024-11-04,C,north,18.55963223061112
2024-11-05,A,south,31.8954065852045
2024-11-06,A,north,21.195935465070797
2024-11-07,C,south,16.012562518515452
2024-11-08,C,south,24.964935127209756
2024-11-09,B,north,17.88716260823032
2024-11-10,C,north,17.16592793739071
2024-11-11,B,south,26.908735693169337
2024-11-12,B,north,22.957168150470693
2024-11-13,B,north,18.216606355585334
2024-11-14,B,south,20.652523717080683
2024-11-15,B,south,25.837613854483052
2024-11-16,A,north,27.0748620428526
2024-11-17,C,south,23.858445365319326
2024-11-18,B,north,22.414409536201415
2024-11-19,C,north,22.790760037860622
2024-11-20,C,north,20.11922508773128
2024-11-21,B,south,20.034045436928658
2024-11-22,A,south,25.80115115604536
2024-11-23,B,south,22.203358422350902
2024-11-24,A,south,24.15005405250216
2024-11-25,C,south,20.366161803509016
2024-11-26,A,north,24.068963152132042
2024-11-27,A,north,25.34705446598359
2024-11-28,A,north,21.24701100705446
2024-11-29,C,north,27.817932400878554
2024-11-30,C,south,17.80117964366337
2024-12-01,A,north,23.915617825721707
2024-12-02,A,south,22.542206819335593
2024-12-03,B,north,21.84712624749362
2024-12-04,A,south,24.411992106273008
2024-12-05,B,south,17.108577469708344
2024-12-06,A,north,26.97065009867303
2024-12-07,B,north,22.374947443768374
2024-12-08,C,north,19.7993710265682
2024-12-09,A,north,23.00912214585377
2024-12-10,A,south,31.57319801667915
2024-12-11,A,north,26.020202891575693
2024-12-12,A,north,21.177793045140028
2024-12-13,B,south,24.242121383008303
2024-12-14,A,north,22.432675751762286
2024-12-15,C,north,28.225635020809747
2024-12-16,C,north,20.23897357258276
2024-12-17,A,north,28.03994810816606
2024-12-18,C,north,13.759947317459297
2024-12-19,A,south,21.14757734773011
2024-12-20,A,north,29.001578859282144
2024-12-21,C,north,20.95344519688741
2024-12-22,A,north,31.127189268142217
2024-12-23,C,north,21.455525315688767
2024-12-24,B,north,20.43588871922312
2024-12-25,A,south,30.140721972466615
2024-12-26,B,north,23.030410997676334
2024-12-27,C,south,19.41121640217113
2024-12-28,B,south,16.71768769850466
2024-12-29,B,north,12.885153005703518
2024-12-30,C,north,18.687002990591886
2024-12-31,B,north,16.440994714335886
2025-01-01,B,north,27.793113929703154
2025-01-02,C,south,18.04888716778992
2025-01-03,B,north,17.966872983124865
2025-01-04,C,north,15.436265376234063
2025-01-05,B,north,19.20104801443189
2025-01-06,C,north,18.00639521107336
2025-01-07,C,north,25.21318828623338
2025-01-08,B,north,20.505428478244955
2025-01-09,B,south,19.973407932030867
2025-01-10,B,south,19.595981737752208
2025-01-11,A,north,27.358524760567608
2025-01-12,A,north,23.6430155030965
2025-01-13,A,north,27.001618280595515
2025-01-14,C,south,24.841909462182333
2025-01-15,B,north,21.38022503089894
2025-01-16,C,south,19.250806151524596
2025-01-17,A,north,22.139622487084296
2025-01-18,B,north,19.174628040958776
2025-01-19,C,north,21.68923662191771
2025-01-20,B,north,15.402417974248035
2025-01-21,C,south,22.494628273127848
2025-01-22,B,south,20.622838064684192
2025-01-23,A,north,24.552432520723844
2025-01-24,A,north,23.021759765646994
2025-01-25,B,south,18.570866897091896
2025-01-26,C,south,21.791918124395924
2025-01-27,A,south,24.615365421714667
2025-01-28,A,south,23.49658009816429
2025-01-29,A,north,26.40569048011457
2025-01-30,B,south,21.52456933247639
2025-01-31,B,north,16.252474816027856
2025-02-01,C,south,21.714442089730955
2025-02-02,C,south,27.505094638581326
2025-02-03,C,south,21.408862368126513
2025-02-04,B,south,14.902978385468996
2025-02-05,B,south,20.532126175518638
2025-02-06,C,north,14.507553877418946
2025-02-07,C,north,29.502115016192477
2025-02-08,B,south,26.707024060953422
2025-02-09,C,south,18.002184551613812
2025-02-10,A,north,18.262998403018493
2025-02-11,B,south,17.364886438721648
2025-02-12,C,south,19.45702778318083
2025-02-13,B,north,14.714408773880784
2025-02-14,A,south,24.792932455011318
2025-02-15,B,south,19.437264007189246
2025-02-16,B,north,20.375464091188665
2025-02-17,B,north,20.68893553081394
2025-02-18,B,north,17.103147200368547
2025-02-19,A,south,22.43975788075104
2025-02-20,B,north,20.13677649341015
2025-02-21,B,north,18.107023610378157
2025-02-22,C,north,22.72248430525177
2025-02-23,B,north,20.107683649303098
2025-02-24,C,north,25.595009701992424
2025-02-25,A,north,27.46144731481368
2025-02-26,A,south,28.311141608171795
2025-02-27,A,south,25.397698203894358
2025-02-28,A,north,25.47208450387089
2025-03-01,C,north,25.19396173972753
2025-03-02,B,north,18.86512134938891
2025-03-03,A,south,26.64033806249572
2025-03-04,B,south,19.201287403515625
2025-03-05,C,south,19.19409182483809
2025-03-06,C,south,16.49331120277484
2025-03-07,C,south,17.772456947429177
2025-03-08,A,south,22.21519164575065
2025-03-09,B,south,21.783106426769507
2025-03-10,B,south,23.120617784670987
2025-03-11,B,south,19.71573987926479
2025-03-12,C,north,20.688883790490962
2025-03-13,A,north,24.54258593468471
2025-03-14,C,north,17.567672240321045
2025-03-15,C,north,22.586789074390637
2025-03-16,B,south,21.957604081278436
2025-03-17,C,south,14.32236204408811
2025-03-18,B,north,19.15067299629424
2025-03-19,A,south,22.353917976377716
2025-03-20,B,north,18.827184291004325
2025-03-21,A,south,22.988705298861223
2025-03-22,B,north,19.8607388877758
2025-03-23,C,south,19.01025579459958
2025-03-24,C,south,18.946577918537482
2025-03-25,A,north,28.32216528501614
2025-03-26,A,south,26.671535982007747
2025-03-27,A,north,22.888316049098698
2025-03-28,B,north,18.333359801559737
2025-03-29,B,north,21.475379166198838
2025-03-30,A,north,26.4712587151083
2025-03-31,C,south,18.18865928281379
2025-04-01,B,south,19.298027999293506
2025-04-02,B,south,25.540418120260902
2025-04-03,B,north,18.240355734435973
2025-04-04,A,south,30.732413765376357
2025-04-05,A,north,28.311000827577416
2025-04-06,A,south,30.176248825166397
2025-04-07,A,south,23.112784083791713
2025-04-08,A,south,24.494332377811716
2025-04-09,C,north,18.652508573673312
2025-04-10,C,south,23.38025957577861
2025-04-11,A,south,23.296948681983732
2025-04-12,B,north,22.19364648002862
2025-04-13,A,south,27.034898233576122
2025-04-14,C,north,19.85591140785747
2025-04-15,C,south,23.895979202493006
2025-04-16,B,north,20.323039609179816
2025-04-17,C,north,22.50225715582491
2025-04-18,A,south,23.51588989324665
2025-04-19,B,north,17.829689557679526
2025-04-20,A,north,27.193436587772823
2025-04-21,A,north,26.292520733001247
2025-04-22,B,north,20.7299229923851
2025-04-23,A,north,23.96893495618665
2025-04-24,C,north,24.647628429578912
2025-04-25,A,south,21.65024258723846
2025-04-26,B,north,16.485970970807085
2025-04-27,B,north,22.826499515491488
2025-04-28,B,south,22.58028915242921
2025-04-29,A,south,26.061288336975604
2025-04-30,B,south,19.13614333429158
2025-05-01,B,south,21.507266387571235
2025-05-02,A,south,30.1624908913586
2025-05-03,C,south,27.546638623622677
2025-05-04,A,south,20.03075888357453
2025-05-05,B,north,18.743239642254363
2025-05-06,B,north,18.554680211045483
2025-05-07,A,south,29.879558415099044
2025-05-08,C,north,12.556115040304395
2025-05-09,B,north,21.541505579196638
2025-05-10,B,north,19.229569074742898
2025-05-11,B,south,24.91433824864292
2025-05-12,A,south,29.503116520013382
2025-05-13,B,north,21.09652020448008
2025-05-14,C,south,15.26083078786461
